Dataset 6: pima.mat
@outliying_subspaces
outlier ; subspace ; neighborhood
90;3,7,1;494
90;5,6;50,316,607,639
91;4,6,0;14
92;4,6;173,197
92;4,6,0;462
93;1,4,2;61
94;5,6,1;63
96;4,7,1;677,767
97;0,1,5;461
97;0,1,5,2;55
97;3,4,0;421
97;3,4,0,2;508
99;0,1,7,3;16
101;0,2,3,1;46
102;4,5,2;571
102;4,5,2,0;571
103;0,1,2;497
103;4,6;290
105;0,1,3,2;395,605
105;4,6;644
106;0,1,4;416,438,556
108;4,6;566
108;4,6,3;566
109;0,1,3;429
109;0,1,3,2;429
109;4,6,3;232
109;4,6,3,1;607
110;0,2,1;235
110;0,2,1,3;761
110;5,6,1;132
111;0,4,6,2;186
111;3,5;670
111;3,5,0;503
113;6,7,1;534
114;2,6,0;194
116;0,2,1;652
116;6,7,1;555
117;2,6;97,293,405
119;3,6,4;331
122;4,6,0,1;198,373,704
122;5,7;124,127
123;6,7;684
124;3,5,1;64
125;4,6,0,1;3,650
126;3,6,1;569
127;0,2,3;656
127;4,5;191
127;4,5,0;315
128;0,1,3;371,651
128;4,6,0,1;318
129;6,7;456,579,582
129;6,7,0;456
130;0,2,5,1;110,696
131;0,3,1,2;524
132;0,2,5,1;404
134;0,2,1;416
134;3,5;450
135;4,6;27,71,107,318,369,469,591
136;0,1,5;390
138;0,1,5;187,308
139;4,6;360,375
141;3,5,0;723
143;6,7,1;314
144;0,1,5;568
146;0,2,4,1;76
146;0,2,4,1,3;47,74,133,310,352,403,705,737
146;5,6,0,1;76
147;6,7;464
148;0,1,2;363
149;6,7;27,32,50,59,74,75,80,81,83,97,101,118,137,142,158,166,225,232,241,242,334,340,342,368,376,377,381,397,415,432,441,448,466,471,472,494,513,528,572,573,585,633,647,654,656,680,682,686,697,707,727,728,729,731,733,742
150;1,5;88
150;1,5,6;88
153;0,2,1;608
154;4,5,3,2;178,350,354,378,391,531,577,596
154;6,7,2;92,176
155;0,2,4;439,552
157;4,6;126,285,301
158;0,1,2;431
160;0,2,5,1;115
161;4,6,1;640
162;0,2,1,3;229,324,726
162;0,2,1,3,4;73
162;5,6,2,1,4;73,279
163;0,1,3;389
164;0,1,3,2;251
165;0,2,1;636
165;4,6,0;282
166;3,5;541
166;6,7,3,1;69,412,413
170;0,1,3;587
170;2,6,0;141,179,302,388,684
172;0,1,3;553
174;4,6,0,1;534,747
177;0,1,3;293
178;4,5,1;230
179;6,7,1;712
180;6,7;15,19,65,217,378,563,714
181;4,6;137,447
181;4,6,0;137,447
182;4,6;52
182;4,6,3;52
183;0,3,2;401
185;0,2,4;502
186;0,3,5;23
186;6,7,0,1;53,212
187;2,6;464
188;0,2,1;557
190;6,7,1;324,572
193;0,3,2;7,706
193;0,3,2,4;7,15,49,222,468,522,533,535,601,604,643,706
193;5,6;247
194;2,6;90
196;0,2,1;373
197;0,2,1;271,279,752
198;3,6;286
199;5,7,1;437
200;3,6;258,431
200;3,6,1;477
203;0,1,2;275
203;4,6;553,572
203;4,6,0,1;134,136,288,639
205;0,2,1;39
205;3,5;680
205;3,5,0;581
207;2,6;440
207;2,6,4;440
208;0,1,2,4;70,526
208;6,7,4;241,565
210;0,1,3;593
210;0,1,3,2;372,441,482,554
211;0,2,5;412
211;3,6,4,5;86
213;0,2,3,4;722
213;5,7,2;45
214;0,1,2,3;314
214;4,6;14,114
217;2,5,0;457
220;6,7;94,105,136,156,200,382,507,508,577
221;1,5,0;31,710
223;0,1,5;695
223;6,7;115
223;6,7,0;186,212,519
224;4,6,1;275
225;0,1,2;544
226;0,1,2;145
226;0,1,2,3;239,531,636,714,734,739,758
226;4,5,1;410
226;6,7;6,40,51,71,78,87,125,134,177,224,235,288,315,335,348,405,420,428,447,449,461,521,522,599,681,700,741,753,758
228;3,6;45
228;3,6,0;716
229;4,6;158
231;0,1,6,3,4;296
231;5,7;689
231;5,7,6,2,4;296
232;2,6,1;705
234;4,6;273,680
234;5,7;249,553,574
234;5,7,2;457
238;3,5;610
239;0,1,3;129,196,536
242;0,2,3,1;456
243;0,2,5;98
243;0,2,5,1;653
244;3,6,1;516
245;0,4,1;2
245;3,5;497
245;3,5,4;200
246;0,1,3;131
246;0,1,3,2;167,233,366
249;0,1,2;620
250;0,3,1;690
252;2,5;690
252;2,5,0;232
252;3,6,2;91,263
253;0,2,1;562
254;0,6;215,375,745
257;6,7;68,108,113,189,210,216,253,301,321,331,373,384,398,399,407,411,426,452,497,520,543,551,575,589,607,655,677,678,685,694,726,752
259;0,2,3;281
259;0,2,3,4;614
259;6,7;458
259;6,7,2,1;603,669,754
260;0,2,7;167,492
263;4,5,1;727
265;1,5;208
265;1,5,6;208
266;0,1,3;201
267;0,1,2,3;397
268;0,1,3,2;196
268;6,7;3,55,60,90,102,119,145,163,182,190,196,208,240,255,271,273,290,307,324,354,367,372,392,413,414,421,422,423,438,465,486,500,511,525,526,550,566,571,580,597,605,623,624,626,627,629,671,713,721,736,738
269;4,5,2;172,604,643
270;0,1,3;37
270;6,7;66,215
271;4,6;543
271;4,6,0,1;142
271;5,7,1;279,382
271;5,7,1,3;380,572,733
272;4,5,2;319
274;0,1,3;333
274;6,7,1,0;86
275;3,6,0,1;422
278;0,2,5;5
278;6,7;28,206,344
279;5,6,1,3,4;73,254,395,679
281;3,5,2;700,719
282;3,6,5,1;73,308,320,547
283;5,6,1;114
286;3,6,0,1,4;655
288;0,3,1;265
288;4,5;134
288;4,5,1;134
290;1,6,3,2;659
290;5,7;738
291;0,1,3;380
291;4,6;348,751
292;0,1,2;140
292;4,6;382
293;0,1,3,2;356
294;0,2,4;55,687
294;0,2,4,1;227
294;5,6,2;55
294;5,6,2,3;90,242,268,456,653
297;0,1,3;105
297;5,7;380,610
297;5,7,1;524
299;6,7,2;344
301;0,2,3,1;63,107,223,414
304;0,2,3;378,433,734
304;1,6;603
305;0,1,5;657,692,751
306;0,2,5,1;44,192
307;0,1,7,4;428
308;1,6;187,267,292,755
309;6,7;126,256,300,326,364,365,444
311;0,2,1;654
313;0,1,5;257,474
314;2,5,4;592,628
314;6,7;265,323,540
315;5,7;40
316;0,1,5;203
319;6,7;13,475
319;6,7,2;487
321;3,5;74,551
323;0,2,6;72
323;3,7,6,1,4;711
324;0,1,2;321
325;3,6;52,236,547,610,707
326;4,6,5;152,539,698
327;0,2,3;523
327;6,7,1;175
328;3,6;127,186,345,387,467,602,647,681,705,712,721
331;0,1,2;32,760
331;5,6,1;544
333;6,7;337,357,592,691
334;5,7;680
335;0,1,3;548
336;6,7,2;357
336;6,7,2,0;332,703
337;0,1,5;386
338;0,2,1;424
340;4,5;527
340;4,5,6;527
342;0,1,4,2;502
343;0,2,3;230
345;0,1,5;517
348;2,5,0;190,197
352;0,2,4;417,666
352;0,2,4,1;76
355;0,2,5,1;238,283,660
356;3,6;215,462,470,540,590
357;2,7,4,0;193
359;0,2,3,4;31
360;0,2,5,1,4;56
361;0,1,3;394
362;0,2,4,3;549
362;0,2,4,3,1;42,66,141,270,387,410,481,491,542,590,600
364;0,2,1,3;95,413
365;0,1,3;65
366;0,2,1;594
368;0,2,5;479
368;3,6,1,2;720
370;0,1,6;716
371;0,1,2;181
372;0,1,2;554
373;4,6,2;127
374;0,1,2;678
374;0,1,2,3;356
375;0,1,5;436
376;5,7,1;156,671,697
376;5,7,1,2;119
377;0,1,4;544
377;0,1,4,3;562
378;6,7,5,1;155,469
379;0,1,5;623
379;2,6;673
379;2,6,5;387
379;2,6,5,0;428
380;4,6;50
381;5,7;97
382;0,1,2,3;197,279,609
384;0,1,2;322
385;0,1,2;653
385;0,1,2,3;465
385;4,6;136,441
385;4,6,0,1;229
387;2,5,6,0;622
391;4,5;270,531,596
391;4,5,0;178,699
391;6,7,1;335
392;0,2,3,1,4;248
393;0,2,1,3;527
394;0,2,3,1;378
394;6,7,1;645
396;0,1,2;288
396;0,1,2,3;656,668,735
396;4,6;554
402;4,6,0,2;376
403;0,2,4,1;505
403;5,7,4,1;505,518,570
404;0,2,3,1;749
404;4,5,1;300
404;6,7,1;612
405;0,3,1,4;569
406;0,2,1;393
407;0,1,3,2;196
408;0,2,3;17
408;0,2,3,1;319,489,675
408;4,5,0,1;319,489,675
409;0,2,5,1;235
409;3,6,2;693
410;0,1,3,2;270,328
412;0,1,3;413
412;5,6,1,3;213
414;0,1,3;4
415;3,5;209,248
415;3,5,0;324,501,735
416;4,5,1;118
418;6,7,1;501,554
419;0,1,2,3;217,309
422;0,1,2,3;59
422;4,6;169
422;4,6,0;562
422;5,7,0,4;291,377,562
423;4,7,1;550
425;0,2,3,1;606
425;5,6,1;209
426;4,5,0,2;49,60,81,494,522
428;2,6,0;724,746
429;6,7,1;265
431;5,7,0;107,568
432;0,1,2,3;497
432;4,6;459
433;6,7,1;201
434;3,6;382
434;3,6,0;382
436;0,1,5,2;375
436;3,4,2;209,542
437;0,1,2;364
442;3,4,6;736
446;4,6,0;87,500
446;5,7;488
447;3,6,2,1;504
448;5,7;471
449;4,6,0,1;575
449;5,7;741
450;0,2,1;490
451;0,2,3;398,570
452;5,6,2;38,87,502,693
454;5,7;109,150,562
455;0,6;298
455;0,6,3;357
458;1,6;0
458;1,6,2;211
459;0,2,5;408,478
459;3,6,0,1,7;223,263,375,388,475,479,582,666
460;0,6,5;762
460;0,6,5,4;459
461;0,1,4;47
461;0,1,4,2;113,183
462;0,2,5,1;570
462;3,6,2,4;358
463;6,7,1;431
464;6,7,0,2;616
465;0,1,5;102
465;3,4,0;340
467;5,7;291
468;0,1,2;222
468;6,7,1;222
469;3,5,0;92
470;4,5;349,712
470;4,5,2;58,141,201
471;3,5;492
471;3,5,0;448
472;2,5,0;721
474;0,1,2;151
475;3,5;667,736
477;2,5;621
479;3,5,0;463,549,572,644
481;0,1,3;602
481;2,5;702
483;0,1,5;554
483;0,1,5,2,4;57,85,328,551,554,567,573,623,640,654
483;3,6,2,1,4;85,328,551,554,567,623,654,745
484;0,2,5;78,332,435
484;0,2,5,1;435
485;0,1,5;428
485;3,6,1;402
486;0,1,2,3;414
487;1,6;716
489;6,7,0,1;759
491;0,2,4,1;33
492;0,1,2;389
494;0,1,4;210
496;0,2,3;167,233
497;4,5;508
497;4,5,0;508
497;4,5,0,1;508
498;0,2,1;675
498;4,6;128,428
499;2,5,7;431
500;3,5;514
502;0,2,4,1,3;342,349
502;5,6,2,1;342
502;5,6,2,1,3;182,342,349
503;0,2,5;121
503;3,6;40,87,109,137,166,232,298,364,403,440,541,607
504;0,1,7;396
505;2,4,0;618
506;0,1,2;237
507;0,1,5;251
507;3,6,1;730
510;0,4,1;559
510;0,4,1,2;133,559
510;3,5,2;380
510;6,7,0,1;194,358
511;0,2,1;486
511;0,2,1,3;307
511;4,6;195,424,452
511;4,6,0,1;150
511;5,7,2;190
512;6,7;53,375,388,557
514;0,1,2;454
516;0,1,6;663
516;5,7;8
516;5,7,6;8
519;1,6,0,3;320,698
520;0,1,6;617
520;3,5;271
520;3,5,0;271
520;3,5,0,1;47
523;6,7,1;357
525;0,3,1;158
526;4,6;50
527;3,6;27,51,91,119,260,263,282,376,438,497
527;3,6,2;431
528;5,7;750
528;5,7,2;166,441
531;4,5,0,1;67
532;3,6;275
534;0,2,3;105
535;5,7,2;619
536;6,7,1;86,387
537;1,4,6,0;352
537;1,4,6,0,7;76,146,352,596,737
539;0,1,5;73
539;2,6;67,115
540;0,1,5;583
540;6,7,1;390,583
542;0,4,1,2;674
542;3,5,0,1;241,567
542;6,7;717
545;0,2,3;53
545;0,2,3,1;209
546;5,6;72,173,292,379
547;0,2,5;389,492,551
548;0,2,3;153
548;0,2,3,1;335
549;0,3,5,1,2;43,53,209,212,237,440,506,545,588,662
551;4,6,3;723
552;6,7;495,759
552;6,7,0,1;509
557;6,7,2;206
558;2,6;38,56,87,89,186,217,233,234,246,253,257,260,306,307,315,342,381,418,421,452,457,485,492,496,512,547,551,562,578,626,693,722
558;2,6,0;246,306,578
559;0,2,3;11
560;4,5,1;116,683
560;6,7;9,660
561;0,2,3;528
562;4,6,1;544
565;4,6;241,402
566;0,1,2;446
569;4,6;405,733
571;0,3,1,2;102
571;4,5,1;686
571;6,7,1,2;102
572;4,5;553
572;4,5,0;234
573;0,2,1;738
573;4,6,3;599
573;4,6,3,2;742
573;5,7;225,397,707
575;2,6,7;741
576;0,4,1;216
576;2,3,6;741
578;4,5,1;123,479
579;6,7,0,1;319
580;3,6,5;422,428
581;0,2,5;276,401
581;3,4,1;30
582;3,5;312
586;0,3,2;64,192
587;0,1,2,3;143,443,624
588;0,2,3;69
589;0,2,7,1;81
589;0,2,7,1,4;15,60,81,172,426,430,494,533,601,643,697
590;1,6,0;667
591;0,1,5;620
591;3,6;150,273
591;3,6,2;273
591;3,6,2,1;39,665
593;0,2,5;729
593;3,6;218,243
594;5,6,2,4;95
595;0,2,3;376
595;0,2,3,4;633
598;0,2,3,1;235
598;6,7;29,116,141,403,427,431,455,468,505,635,712,725
599;0,1,3,4;742
599;5,6,1,2;576
600;0,1,2;66
602;6,7;5,10,52,126,132,256,316,351,364,365,444,496,556,616,645,706,765
604;0,2,3,1;332
606;0,1,2;445
606;5,6;267
606;5,6,2;363,591,725,751
609;3,6;68,80,340,385,450,465,617,710
610;0,1,5,4;165
611;0,2,3;482
612;0,2,5,1;702
617;0,1,6,2;183,461
619;5,7;262
619;5,7,1,2;7
620;0,1,2,3;665
620;4,5;709
620;4,5,0,2;588,698
621;3,5,0;75,157,500
622;0,3,5;22,26,41,339
622;0,3,5,1;332,339
622;2,4,0,1;212
622;6,7;493
626;2,5,0;307,434
627;0,2,5;273,544
629;0,2,1;400
633;0,1,4;292
633;0,1,4,2;292
633;6,7;27,32,47,50,59,74,75,80,81,83,97,101,118,137,142,149,158,166,225,232,241,242,311,334,340,342,368,376,377,381,397,415,432,441,448,466,471,472,494,513,528,572,573,585,647,654,656,680,682,686,697,707,727,728,729,731,733,742
634;0,2,3;762
635;3,5,0,1;17,143,250,274,443
636;3,5,1;129,536
636;6,7;42,358
638;0,2,5;26
638;3,6,1;668
643;6,7,1;533
644;0,2,3;568
644;4,6,3;105
644;5,7;251
647;2,6,7,3;6,98,227,405
648;0,2,5;660
648;0,2,5,1;12
649;0,1,2;718
650;4,6,7;122
651;0,1,3,2;181,371,423,442
651;4,6,1;527,723
651;4,6,1,2;530
652;4,6;562
654;4,6;110,126,301
654;5,7,1;122
655;0,1,6;312
656;4,6;506,631
657;1,6;167,460,740
658;0,3,5;11
658;2,6,0;672
659;4,5;40
659;4,5,0;40
659;4,5,0,1;372,490
659;6,7;104
659;6,7,1;705
660;6,7,0;43,516,676
661;0,2,3,1;8
661;0,2,3,1,4;45,185,209,399
661;5,6,2,1;206
662;0,5;206
662;0,5,1,2;207
662;3,6;177,422,428,580,663,689,718
662;3,6,0,1;612
663;5,7,0;133
665;0,1,2;200
665;4,6;306
665;5,7;631
666;0,2,1;388,417
667;0,2,3;25
667;0,2,3,1;205
667;6,7;44,95,128,184,191,193,272,504,663,664,711
669;0,2,1;754
669;3,5,1;568
671;3,5,0;279
672;0,3,7,1,2;352
672;4,5;462
672;4,5,6;462
673;0,7,1;530
673;0,7,1,2;102
673;0,7,1,2,4;16,20,99,287
673;3,6;0,71,255,342,414,545
674;4,5,0,1,7;21,30,37,42,67,86,129,176,274,278,284,299,344,362,387,491,510,512,536,542,552,557,583,618,636,717,719,734
675;4,7,0,1;399
678;0,2,1,3;653
678;6,7;68,108,113,189,210,216,253,257,301,313,321,331,373,384,398,399,407,411,426,452,467,497,520,543,551,575,589,607,655,677,685,694,726,752
678;6,7,1;449,700
680;0,2,3,4,1;173,174,234,462,466,520,534
681;0,1,2,3;31,645
681;4,5,0;746
682;0,1,2;208
682;0,1,2,3;467,492,556
683;0,1,2;521
684;6,7,0,1;123
685;0,1,3;541
685;4,5;309
685;4,5,0;309
686;0,1,2;419
687;0,1,3,2;157,610
688;0,2,1;433
688;4,6;427,689,726
688;4,6,3;429
688;5,7,3;650
689;0,1,2,3;470
689;5,6,1;178
691;0,3,5,4;11,22,26,41,72,339,583,658
692;3,5,0;709
692;6,7;122,153,157,173,181,197,237,247,277,450,451,538,553,574,637,679,688,709
693;1,6,0;519
693;1,6,0,3;539
696;0,2,3,1;14,646
697;4,5,1;488,671
698;0,2,1;20
698;5,7;652
699;4,5;237,484
699;4,5,0,1;577
700;5,7;226
701;4,5,1;322,366,602
702;0,2,3,1;247
704;4,6;69,122,467,650,669
705;5,7,0;195
705;5,7,0,1;104,501,543,554,659
706;5,6,1,0;522
707;0,1,7,2;293,405
707;3,6,5,1,4;139,199,375,519,574
709;5,6,2;467,490,554
710;3,6,0,1;312
711;0,2,1;701
712;0,1,4,3;357
714;0,1,5;741
714;6,7,1;18,35,48
715;0,1,5;545
715;0,1,5,3,4;258
715;2,6,0;98,243
716;0,1,5,3;110,132,415
718;0,1,2,3;198,216
720;0,2,3;73
721;3,6,1;255
722;0,2,3;309
722;0,2,3,1;166
723;0,1,3;386
725;0,2,3;425,504,716
726;4,6,3,1;411
727;0,1,3;213,688
728;0,2,1;732
730;0,1,5;251,320
732;0,2,1,3;415
732;4,6,3;328
734;0,1,2;758
734;4,5,1;42,196,333
736;0,1,5;105
738;5,6,1;21,298,454
739;6,7,1;558
740;0,4,6,2;259
740;1,3,6;305
741;2,6,0,1;51,576
742;4,6;277
743;0,3,1;12
743;0,3,1,2;473
744;0,6;323
744;0,6,1;323
745;4,6,1,0;161
747;0,1,2,4;432
747;3,5;469
747;3,5,0;420
747;6,7,3;187
753;0,2,7;420
753;0,2,7,1;237
753;3,6;155,191,286
753;3,6,0,1,4;186
754;3,5;262,567
754;3,5,1;144
755;0,1,5;538
756;0,2,1;473
756;0,2,1,3;402
757;0,1,5;481,605
757;6,7,0;702
758;6,7;6,40,51,71,78,87,125,134,177,224,226,235,288,315,335,348,405,420,428,447,449,461,521,522,599,681,700,741,753
761;0,2,3;133
762;0,3,2,1;512,634
763;0,1,2;37
764;0,1,2;692
766;0,1,2;135
766;4,5,1;524
766;6,7,0;536,596,689
767;0,1,2;623
