Dataset 10: wine.mat
@outliying_subspaces
outlier ; subspace ; neighborhood
85;5,6,0,12;99
86;3,6;95,104,114
87;0,1;73,80
88;8,9,1;87,94,97
91;6,7,0,12;84
91;8,9,0,12;84
94;0,1,2,12;100
97;0,1;94
97;4,5;43
97;4,5,0;43,69
97;4,5,0,12;54
97;6,7;10,85,86,87,88,89,90,91,92,93,94,95,96,98,99,105,106,107,108,112,113,114,115,116,118,121,122,123,124,125,126,127,128
97;6,7,12;54
98;0,1;73
98;7,10,4,12;110
100;2,6,4;28,95,102,120
101;0,1,2,4;1,3,4,72,81,126,127
101;8,9,0,4;1,3,4,72,81,126,127
102;8,9;117
103;2,5,4;9
104;4,6;83,109
106;0,2,1,12;87
106;5,6,4,12;87
107;6,8,12;41,102
107;6,8,12,0;41,102
108;0,1,3;73
109;0,1;1,4,5,8
109;8,10,0;0,1,2,3,4,5,6,8,9,17,22,24,34,74,101,103,104,106,107,110,116,117,119,123,125,126,127,128
110;2,4;87,92,107
113;2,4;84,114
115;4,5;37,56
116;3,5,4;110
117;10,12,0;86
117;10,12,0,1;86
118;5,8,1,12;11,39,60,112
118;7,10,3,12;11,39,60,112
119;5,8,3,12;125
119;7,9,0,12;19,29,125
121;2,6,12;18,57
122;0,1,3,12;23
122;2,4,0,12;23
124;0,2,1;74,87,88,94,97,98,106,107,116,120,126,128
124;6,7,1;87,88,94,97,98,106,107,116,120,126,128
127;6,8,4;126
128;6,8,12;83
